origin,destination,distance (mi)
FSD,AMA,785
FSD,ABQ,1009
FSD,ABI,921
FSD,CAK,952
FSD,AEX,1037
FSD,ATW,457
FSD,ALB,1386
FSD,ABE,1305
FSD,ASE,815
FSD,AUS,1030
FSD,ATL,1171
FSD,AVL,1213
FSD,AGS,1314
FSD,BWI,1276
FSD,BFL,1662
FSD,BGR,1783
FSD,AMA,785
FSD,ABQ,1009
FSD,ABI,921
FSD,AEX,1037
FSD,ATW,457
FSD,ABE,1305
FSD,CAK,952
FSD,ASE,815
FSD,ALB,1386
FSD,AVL,1213
FSD,AUS,1030
FSD,ATL,1171
FSD,AGS,1314
FSD,BFL,1662
FSD,BWI,1276
FSD,BTR,1125
FSD,BIL,660
FSD,BPT,1141
FSD,BIS,392
FSD,BHM,1054
FSD,BMI,577
FSD,BGR,1783
FSD,BZN,809
FSD,TRI,1193
FSD,BOI,1250
FSD,CID,364
FSD,BRO,1377
FSD,CMI,632
FSD,BUF,1111
FSD,BOS,1558
FSD,BUR,1644
FSD,BTV,1473
FSD,CHS,1458
FSD,ORD,558
FSD,CRW,1066
FSD,CLT,1322
FSD,CHA,1059
FSD,CVG,857
FSD,CLE,906
FSD,CHO,1316
FSD,COS,707
FSD,COU,502
FSD,CLL,1010
FSD,CMH,933
FSD,CAE,1359
FSD,DFW,840
FSD,CSG,1261
FSD,DAY,863
FSD,CRP,1240
FSD,DRT,1173
FSD,DEN,616
FSD,DSM,292
FSD,DAB,1599
FSD,DRO,953
FSD,DTW,840
FSD,ELP,1173
FSD,VPS,1294
FSD,EVV,775
FSD,FAR,242
FSD,ERI,1012
FSD,XNA,578
FSD,EUG,1663
FSD,FLG,1303
FSD,FNT,844
FSD,FAY,1405
FSD,GRK,992
FSD,FLO,1437
FSD,FSM,660
FSD,FLL,1808
FSD,GCK,572
FSD,FWA,736
FSD,RSW,1750
FSD,GRI,253
FSD,GJT,864
FSD,GNV,1494
FSD,GRB,489
FSD,FAT,1768
FSD,GRR,759
FSD,GUC,822
FSD,GSO,1301
FSD,GSP,1276
FSD,PGV,1466
FSD,GPT,1177
FSD,HRL,1350
FSD,HDN,788
FSD,MDT,1238
FSD,BDL,1479
FSD,IDA,974
FSD,IAH,1073
FSD,HOU,1093
FSD,HTS,997
FSD,IND,745
FSD,JAC,875
FSD,HHH,1447
FSD,HSV,1037
FSD,JAN,1027
FSD,MCI,347
FSD,AZO,720
FSD,FCA,1115
FSD,LSE,295
FSD,OAJ,1489
FSD,JAX,1520
FSD,TYS,1095
FSD,LFT,1130
FSD,LCH,1110
FSD,LAN,796
FSD,EYW,1982
FSD,LAW,731
FSD,LAS,1380
FSD,LEX,925
FSD,LRD,1259
FSD,LIT,793
FSD,GGG,860
FSD,LGB,1650
FSD,LBB,908
FSD,LAX,1655
FSD,SDF,862
FSD,MSN,428
FSD,MHK,359
FSD,LYH,1289
FSD,MQT,622
FSD,MEM,824
FSD,MFR,1720
FSD,MHT,1585
FSD,MFE,1337
FSD,MVY,1626
FSD,MAF,1061
FSD,MKE,506
FSD,MSP,230
FSD,MLB,1668
FSD,MSO,1007
FSD,MIA,1825
FSD,MLI,444
FSD,MOB,1199
FSD,MTJ,915
FSD,MLU,961
FSD,MGM,1146
FSD,MRY,1870
FSD,BNA,923
FSD,MYR,1504
FSD,ACK,1647
FSD,MSY,1194
FSD,EWN,1498
FSD,EWR,1359
FSD,JFK,1384
FSD,PHF,1432
FSD,OMA,185
FSD,LGA,1375
FSD,ORF,1456
FSD,PIA,533
FSD,ONT,1601
FSD,PSP,1606
FSD,PNS,1251
FSD,MCO,1609
FSD,PHL,1339
FSD,PHX,1417
FSD,ECP,1314
FSD,PIT,1024
FSD,RAP,345
FSD,PDX,1546
FSD,RDM,1567
FSD,RNO,1550
FSD,RST,228
FSD,RDU,1370
FSD,PWM,1651
FSD,PVR,2095
FSD,RIC,1380
FSD,ROA,1241
FSD,ROW,1019
FSD,SLC,1040
FSD,SJT,1027
FSD,SMF,1686
FSD,ROC,1171
FSD,SBY,1386
FSD,SAT,1098
FSD,SAN,1702
FSD,SFO,1777
FSD,SAF,959
FSD,SJC,1796
FSD,SBP,1795
FSD,SBA,1737
FSD,SNA,1639
FSD,FSD,1
FSD,STS,1784
FSD,SHV,918
FSD,SEA,1482
FSD,SAV,1407
FSD,SBN,663
FSD,SRQ,1668
FSD,SPI,602
FSD,GEG,1204
FSD,SGF,534
FSD,STL,598
FSD,SWO,602
FSD,SGU,1265
FSD,SCE,1141
FSD,TLH,1348
FSD,TXK,840
FSD,SYR,1251
FSD,TUL,594
FSD,TPA,1624
FSD,TVC,890
FSD,TYR,854
FSD,TUS,1448
FSD,EGE,752
FSD,ALO,300
FSD,CWA,420
FSD,ACT,927
FSD,SPI,602
FSD,IAD,1276
FSD,DCA,1274
FSD,ICT,491
FSD,ART,1318
FSD,PBI,1760
FSD,HPN,1392
FSD,AVP,1268
FSD,YUM,1604
FSD,ILM,1510
FSD,ORH,1517
ORD,DFW,932
DFW,ABI,170
DFW,CAK,1190
DFW,ALB,1663
DFW,ABQ,637
DFW,AEX,318
DFW,ABE,1481
DFW,AMA,342
DFW,ATW,1090
DFW,AVL,979
DFW,ASE,908
DFW,ATL,806
DFW,AGS,951
DFW,AUS,215
DFW,BFL,1442
DFW,BWI,1381
DFW,BGR,2014
DFW,BTR,431
DFW,BPT,317
DFW,BIL,1330
DFW,BHM,660
DFW,BIS,1119
DFW,BMI,800
DFW,TRI,959
DFW,BOI,1587
DFW,BOS,1789
DFW,BZN,1480
DFW,BRO,562
DFW,BUF,1388
DFW,BUR,1424
DFW,BTV,1750
DFW,CID,856
DFW,CMI,805
DFW,CHS,1097
DFW,CRW,1071
DFW,CLT,1042
DFW,CHO,1231
DFW,CHA,813
DFW,CVG,948
DFW,CLE,1188
DFW,CLL,194
